ident	id	idAuthor	target	idDate	targetDate	gender	totalMale	totalFemale	epMale	epFemale	percentMale	percentFemale
260799	The Scottish chiefs	Jane Porter	Ossian	1811	1796	Female
260818	The adultress	null	John Tobin	1810	5000	Female
260874	The old English Baron	Clara Reeve	Horace	1810	-8	Male
260875	The British novelists	Francis Coventry	Virg. En	1810	5000	Male
260879	The British novelists	Inchbald	"Edmund, Burke"	1810	1797	Female
260887	The British novelists	Ann Ward Radcliffe	Shakespeare	1810	1616	Female
260900	A year and a day	Frances Brooke	Tibullus	1818	19	Female
260923	The true anti-Pamela	null	Otway	1742	1685	Male
260943	Clan-Albin	C. I Johnstone	Thomson	1815	1778	Female
260958	Forman	Abel Moysey	Shakespeare	1819	1616	Male
260973	Cava of Toledo	Augusta Amelia Stuart	Thomas Gray	1812	1771	Female
261036	Adelaide	Botsford	Pietro Metastasio	1816	1782	Female
261066	Sancho	J. W Cunningham	Horace	1817	-8	Male
261078	Sentimental anecdotes	Isabelle de Montolieu	Alexander Pope	1812	1744	Female
261087	The memoirs of the Baron du Tan	Gomez	Pope	1744	5000	Male
261095	True stories, from ancient history	Maria Elizabeth Budden	Dionysius of Heraclea	1819	5000	Female
267308	The happy-unfortunate	Elizabeth Boyd	Mrs. (Mary de la Rivire) Manley	1732	1724	Female
268225	The happy-unfortunate	Lydia Grainger	John Gay	1733	1732	Female
276072	Modern chivalry	H. H Brackenridge	Horace	1819	-8	Male
276075	Midnight weddings	Mary Meeke	Robert Nugent	1814	1788	Female
276082	Letters from Altamont in the capital	Charles Jenner	Mons. Pascal	1767	5000	Male
276113	The spiritual Quixote	Richard Graves	Edward Young	1783	1765	Male
276114	The recluse of Norway	Anna Maria Porter	Montgomery	1814	5000	Female
276122	The life and adventures of Joe Thompson	Edward Kimber	Pope	1750	5000	Male
276124	Life and adventures of Duncan Campbell	William Bond	Cicero	1720	-43	Male
276126	Life and adventures of Duncan Campbell	William Bond	Cicero	1720	-43	Male
276154	The honour of chivalry	Jeronimo Fernandez	Publius Ovidius Naso	1703	18	Male
276155	Tell-tale sophas	John Battersby	Pope	1814	5000	Male
277537	Female falshood	null	John Dryden	1722	1700	Male
281901	John Bulls last will and testament	John Arbuthnot	Domitius Ulpianus	1713	228	Male
302876	The vicar of Wakefield	Oliver Goldsmith	Robert Burton	1786	1640	Male
311239	The whole comical works of Monsr. Scarron	Scarron	Martial	1703	104	Male
340850	The adventures of a hackney coach	null	William Shakespeare	1781	1616	Male
340910	The adventures of an East-India rupee	Helenus Scott	William Shakespeare	1783	1616	Male
341342	The adventures of Arthur OBradley	John Potter	Virgil	1771	-19	Male
341344	The Birmingham counterfeit	null	Alexander Pope	1772	1744	Male
341364	Chrysal	Charles Johnstone	William Shakespeare	1775	1616	Male
341380	The curate of Coventry	John Potter	Lucretius	1771	-55	Male
341381	The genuine diestresses of Damon and Celia	William Renwick	Ovid	1771	18	Male
341386	Dangerous connections	Choderlos de Laclos	Jean-Jacques Rousseau	1784	1778	Male
341388	The delicate distress	Griffith	Mrs. Woolbrook	1775	5000	Female
341410	Maria	George Monck Berkeley	Alexander Pope	1784	1744	Male
341427	A fathers instructions	Thomas Percival	Cicero	1779	-43	Male
341429	A fathers instructions	Thomas Percival	Cicero	1776	-43	Male
341431	The fault was all his own	Elizabeth Eyton Nichols	William Shakespeare	1771	1616	Female
341433	Female friendship	null	Alexander Pope	1770	1744	Male
341439	The female spectator	Eliza Fowler Haywood	Jane Dorrell	1775	5000	Female
341467	The expedition of Humphry Clinker	Tobias George Smollett	Horace	1771	-8	Male
341476	The Irish guardian	A Lady	James Beattie	1776	5000	Female
341521	Letters from Lysander	Lysander	Horace	1773	-8	Male
341526	The life and adventures of Joe Thompson	Edward Kimber	Alexander Pope	1783	1744	Male
341528	The life of John Buncle, Esq	Thomas Amory	Florentius Volusenus	1770	1546	Male
341529	The life of Lamenther	Anne Wall	William Shakespeare	1771	1616	Female
341547	Memoirs of the Marquis de St. Forlaix	Nicolas Etienne Framery	Thomas Corneille	1770	1709	Female
341570	Mr. Bentley, the rural philosopher	Henry Man	Virgil	1775	-19	Male
341585	The old maid	Skinn	Ben Jonson	1771	1637	Female
341601	The paths of virtue delineated	null	William Congreve	1773	1729	Male
341606	Adventures of Monsieur Pierre Viaud	Jean Gaspard Dubois-Fontanelle	Virgil	1771	-19	Male
341610	The placid man	Charles Jenner	Terence	1773	159	Male
341614	The pupil of pleasure	Pratt	Livy	1776	5000	Female
341639	Shenstone-Green	Pratt	Shenstone	1779	1763	Female
341650	Solyman and Almena	John Langhorne	Virgil	1780	-19	Male
341658	The sorrows of Werter	Johann Wolfgang von Goethe	Virgil	1780	-19	Male
341659	The spiritual Quixote	Richard Graves	Edward Young	1773	1765	Male
341663	Sutton-Abbey	null	Elizabeth Carter	1780	5000	Female
341672	The temple of virtue, a dream	David Fordyce	Elihu	1775	5000	Male
341675	Letters between Theodosius and Constantia	John Langhorne	Guillaume Amfrye de Chaulieu	1770	1720	Male
341690	The true anti-Pamela	James Parry	Thomas Otway	1770	1685	Male
341694	The two mentors	Clara Reeve	Simonides	1783	468	Female
341697	A true narrative of an unfortunate elopement	Thomas Simes	Matthew Prior	1770	1721	Male
341720	The works of the reverend Dr. Jonathan Swift	Jonathan Swift	Virgil	1772	-19	Male
341722	The younger brother	null	Alexander Pope	1770	1744	Male
3445990	The life and opinions of Tristram Shandy	Laurence Sterne	Horace	1782	-8	Male
3455357	The rebels	Lydia Maria Francis Child	William Cullen Bryant	1825	5000	Male
3456688	The spy	James Fenimore Cooper	Sir Walter Scott	1822	5000	Male
3457680	The pilot	James Fenimore Cooper	George Alexander Stevens	1823	1784	Male
3459911	Salmagundi	Washington Irving	George Psalmanazar	1820	1763	Male
3468177	The valley of Shenandoah	George Tucker	"Henry, Sir Wotton"	1824	1639	Male
3469522	Hobomok, a tale of early times	Lydia Maria Francis Child	William Cullen Bryant	1824	5000	Male
3469776	Yorktown	E. L Cushing	George Gordon Byron	1826	5000	Male
3469781	Francis Berrian	Timothy Flint	Francisco de Quevedo	1826	1645	Male
3470604	The life and adventures of Dr. Caleb	Aaron Lummus	Paul the Apostle	1822	67	Male
3471348	Keep cool	John Neal	Solomon Gun-dy	1817	5000	Male
3471418	Logan	John Neal	William Shakespeare	1822	1616	Male
3478066	Hope Leslie	Catharine Maria Sedgwick	Eliza Lee Cabot Follen	1827	5000	Male
3478620	A voyage to the moon	George Tucker	Shakespeare	1827	1616	Male
3488499	The pilgrims progress from this world to	John Bunyan	Hosea	1761	5000	Male
3488547	The pilgrims progress from this world to	John Bunyan	Hosea	1760	5000	Male
3571294	A visit to a sabbath evening school	Sabbath school teacher	John Fawcett	1818	5000	Male
361053	The memoirs of Miss Arabella Bolton	null	Nicholas Rowe	1770	1718	Male
374959	Kate Clarendon	Emerson Bennett	Anon	1848	5000	Male
375220	Ellen Parry	Emily Edson Briggs	Samuel Rogers	1850	5000	Female
375225	The Atlantic club-book	null	Roberth Herrick	1834	5000	Male
3767898	The witch of New England	John C M\Call	Thomas Middleton	1824	1627	Male
3768559	Works of Dr. William Wagstaffe	William Wagstaffe	John Wilson	1726	1696	Male
3769976	Little truths better than great fables	William Darton	Vicesimus Knox	1800	5000	Male
377553	The missionary convention at Jerusalem	David Abeel	John Bunyan	1838	1688	Male
378959	The sketch book of Geoffrey Crayon	Washington Irving	Hue and Cry after Christmas	1819	5000	Male
379041	Pencil sketches	Eliza Leslie	William Shakespeare	1833	1616	Female
379124	The sketch book of Geoffrey Crayon	Washington Irving	Robert Burton	1824	1640	Male
379658	The bene	Alexander Bicknell	Terence	1775	159	Male
380167	Ellen Parry	Emily Edson Olivia Briggs	Samuel Rogers	1850	5000	Female
380966	The history of Eliza Warwick	null	William Shakespeare	    	1616	Female
381052	The bene	Alexander Bicknell	Terence	1775	159	Male
3980016	The novelists magazine	Henry Fielding	Horace	1780	-8	Male
3980153	The novelists magazine	John Langhorne	Publius Vergilius Maro	1780	-19	Male
3980240	The novelists magazine	Henry Fielding	Horace	1780	-8	Male
427580	The Works of Henry Fielding, Esq	Henry Fielding	Juvenal	1814	130	Male
427785	The Works of Henry Fielding, Esq	Henry Fielding	Ovid	1814	18	Male
427894	The Works of Henry Fielding, Esq	Henry Fielding	Virgil	1814	-19	Male
429975	Stellins	null	"Johann Wolfgang von, Goethe"	1793	5000	Male
431005	The history of Charlotte Villars	Isaac Mukins	Horace	1756	-8	Male
432527	Amelia	Henry Fielding	Horace	1752	-8	Male
436624	Jemima and Louisa	Lady	Clive	1759	5000	Female
437634	The history of Pompey the Little	Francis Coventry	Virgil	1751	-19	Male
438528	The fortunate country maid	Charles de Fieux Mouhy	William Congreve	1758	1729	Male
440189	The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	-8	Female
440190	The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	-8	Male
440191	The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	-8	Female
440196	The dreamer	William King	Virgil	1754	-19	Male
440197	The Dreamer	William King	Virgil	1754	-19	Male
440202	The anti-Gallican	Edward Long	Arthur Murphy	1757	5000	Male
