id	idAuthor	target	idDate	targetDate
Letters from Lysander	Lysander	Alexander Pope	1773	1688
Letters supposed to have been written	Sterne, Laurence	Mark Akenside	1779	1721
The life and adventures of Joe Thompson	Kimber, Edward	Alexander Pope	1783	1688
The life of Lamenther	Wall, Anne	William Shakespeare	1771	1564
Love and madness. A story too true	Croft, Herbert	William Shakespeare	1780	1564
The loves of Calisto and Emira	Seally, John	Prior, Matthew	1776	1664
The loves of Mirtil son of Adonis a pastoral	null	Catullus	1770	1586
The man of the world. In two parts	Mackenzie, Henry	Horace	1773	1799
Memoirs of the Marquis de St. Forlaix	Framery, Nicolas Etienne	Thomas Corneille	1770	1625
The married victim	null	John Home	1772	1722
Memoirs of Maitre Jacques, of Savoy	null	Horace	1779	1799
The history of Miss Temple. In two	Rogers, A	Young, Edward	1777	1683
The mistakes of the heart	Treyssac de Vergy, Pierre Henri	Prior	1770	1915
Mr. Bentley, the rural philosopher	Man, Henry	Virgil	1775	1448
The new modern story-teller	null	Poed.	1772	1893
Original love-letters	Combe, William	Joseph Addison	1784	1672
The paths of virtue delineated	null	William Congreve	1773	1670
The shipwreck and adventures of Monsieur	Dubois-Fontanelle, Jean Gaspard	Virgil	1771	1448
The pilgrim	Johnstone, Charles	Juvenal	1775	1388
The placid man	Jenner, Charles	Terence	1770	1906
The pupil of pleasure	Pratt	Livy	1776	1919
The recess	Lee, Sophia	Shakespeare, William	1783	1564
The reverie	Johnstone, Charles	Milton, John	1776	1608
The royal adventurers	null	Robert Dodsley	1773	1703
Shenstone-Green	Pratt	Shenstone.	1779	1714
Shenstone-Green	Pratt	Shenstone, William	1780	1714
Solyman and Almena. An oriental tale	Langhorne, John	Virgil	1780	1448
Something new. In two	Griffith, Richard	Virgil	1772	1448
The sorrows of Werter	Goethe, Johann Wolfgang von	Virgil	1780	1448
Sutton-Abbey	null	Carter.	1780	1906
The sylph	Devonshire, Georgiana Spencer Cavendish	Alexander Pope	1779	1688
A tale of a tub	Swift, Jonathan	Lucretius	1781	1506
The temple of virtue, a dream	Fordyce, David	Elihu.	1775	1845
Letters between Theodosius and Constantia	Langhorne, John	Addison	1770	1672
The true anti-Pamela	Parry, James	Thomas Otway	1770	1652
The two mentors	Reeve, Clara	Simonides	1783	1915
A true narrative of an unfortunate elopement	Simes, Thomas	Prior.	1770	1915
Woodbury	null	Young	1773	1741
The works of Dr Jonathan Swift	Swift, Jonathan	Lucretius	1774	1506
The works of the reverend Dr. Jonathan Swift	Swift, Jonathan	Virgil	1772	1448
The younger brother, a tale. [epigraph	null	Alexander Pope	1770	1688
The memoirs of Miss Arabella Bolton	null	Nicholas Rowe	1770	1674
Never despair	Bokum, Hermann	William Shakespeare	1837	1564
Calavar	Bird, Robert Montgomery	Garcilaso de la Vega	1847	1539
Kate Clarendon	Bennett, Emerson	Anon	1848	1888
A romance of the sea-serpent	Batchelder, Eugene	James T. Fields	1849	1816
Ellen Parry	Briggs, Emily Edson	Samuel Rogers	1850	1763
Tales of the puritans. The regicides	Bacon, Delia Salter	Lord Byron	1831	1783
The Atlantic club-book	null	Herrick	1834	1591
The Fire-Screen	Bache, Anna	Samuel Taylor Coleridge	1841	1772
Julia of Baiae	Brown, John Walker	Henry Hart Milman	1843	1791
Modern chivalry	Brackenridge, H. H	Juvenal.	1792	1388
Modern chivalry	Brackenridge, H. H	Horace	1825	1799
The hawks of hawk-hollow	Bird, Robert Montgomery	William Shakespeare	1835	1564
The infidel	Bird, Robert Montgomery	Calderon	1835	1600
Blackbeard	null	Edmund Spencer	1835	1552
Peter Pilgrim	Bird, Robert Montgomery	Robert Burton	1838	1577
The adventures of Robin Day	Bird, Robert Montgomery	William Shakespeare	1839	1564
Modern chivalry	Brackenridge, H. H	Horace	1808	1799
The hawks of Hawk-Hollow	Bird, Robert Montgomery	William Shakespeare	1835	1564
The missionary convention at Jerusalem	Abeel, David	John Bunyan	1838	1628
Adsonville	Hull, Edward	Lord Byron	1824	1783
Lorette	Bourne, George	James Montgomery	1833	1861
A journal, of a young man of Massachusetts	Waterhouse, Benjamin	William Shakespeare	1816	1564
Tales of a traveller	Irving, Washington	Christopher Marlowe	1824	1564
Pencil sketches	Leslie, Eliza	William Shakespeare	1833	1564
The spy	Cooper, James Fenimore	Sir Walter Scott	1824	1771
Outre-mer	Longfellow, Henry Wadsworth	Martial DAuvergne	1835	1430
Pioneers	Cooper, James Fenimore	James Kirke Paulding	1825	1778
The bene	Bicknell, Alexander	Terence	1775	1906
The unfortunate dutchess	null	Nicholas Rowe	1739	1674
Plays prose and poetry	Barnes, Charlotte Mary Sanford	Kames	1848	1696
The court-secret	Lyttelton, George Lyttelton	Philip Massinger	1741	1583
Fourth edition. Price 25 cents	Batchelder, Eugene	James T. Fields	1850	1816
The history of Eliza Warwick. In two	null	William Shakespeare	    	1564
The history of Lady Anne Neville	null	Seneca	1775	1863
The Works of Henry Fielding, Esq	Fielding, Henry	Juvenal	1814	1388
The Works of Henry Fielding, Esq	Fielding, Henry	Ovid	1814	1601
The Works of Henry Fielding, Esq	Fielding, Henry	Virgil	1814	1448
The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	1799
The life and memoirs of Mr. Ephraim Tristram	null	Horace	1756	1799
The cry	Fielding, Sarah	Martial.	1754	1430
The juvenile adventures of David Ranger	Kimber, Edward	Garrick, David	1752	1717
The devil upon crutches in England. or	Gentleman of Oxford	Juvenal	1759	1388
The dreamer	King, William	Virgil	1754	1448
The Dreamer	King, William	Virgil	1754	1448
The fortunate villager	Bannac, Adolphus	Horace	1750	1799
The history of Henry Dumont, Esq	Charke, Charlotte	Joseph Addison	1756	1672
The life, misfortunes and adventures of Indiana	Marivaux, Pierre Carlet de Chamblain de	Shak.	1755	1564
The adventures of Jerry Buck	Slade, John	Horace	1754	1799
The adventures of Jerry Buck	Slade, John	Horace	1754	1799
The life of John Buncle, esq	Amory, Thomas	Volusenus.	1756	1504
The history of Miss Katty N	null	Nicholas Rowe		1674
The memoirs of a young lady of quality	null	Alexander Pope	1756	1688
Lydia	Shebbeare, John	Senec.	1755	1863
Lydia	Shebbeare, John	Senec.	1755	1863
The fortunate country maid	Mouhy, Charles de Fieux	William Congreve	1758	1670
The marriage act	Shebbeare, John	Ovid	1754	1601
The history of the life and adventures of	Kimber, Edward	Joseph Addison	1754	1672
Memoirs of an Oxford scholar	null	Alexander Pope	1756	1688
The History of Polly Willis, an orphan	null	Edmund Waller	1755	1606
The history of Pudica, a lady of N-rf-lk	Gardiner, Richard	Horace	1754	1799
The wars of the gulls	Bigelow, Jacob	Samuel Butler	1812	1835
Letters on several occasions	Freeman, William	Tull.	1757	1925
The travels of Zoroaster	null	Horace	1753	1799
Court intrigues	null	Alexander Pope	1759	1688
The Card	Kidgell, John	Juvenal	1755	1388
A narrative of the life of Mrs	Charke, Charlotte	John Gay	1755	1685
A narrative of the life of Mrs	Charke, Charlotte	John Gay	1755	1685
Chiron	Caraccioli, Charles	Horace	1758	1799
The empire of the Nairs	Lawrence, James	Virgil	1813	1448
A few days in Athens	Wright, Frances,	James Thomson	1822	1700
Adsonville	null	Byron	1824	1788
An antidote to the miseries of human life	Corp, Harriet	James Thomson	1808	1700
The adventures of Capt. Greenland	Goodall, William	Shakespeare, William	1752	1564
The adventures of Ferdinand Count Fathom	Smollet, Tobias	Juvenal	1753	1388
The history of Fanny Seymour	null	Nahum Tate	1753	1652
Glenarvon. In three	Lamb, Caroline,	Voltaire	1816	1694
The life and history of a pilgrim	Wollaston, George	Virgil	1753	1448
The life and history of a pilgrim	Wollaston, George	Virgil	1753	1448
The history of Jack Connor	Chaigneau, William,	Horace	1752	1799
Third edition. Life high & low	Author of The Greeks	Alexander Pope	1819	1688
New tales	Opie, Amelia	William Shakespeare	1818	1564
The history of Pompey the Little	Coventry, Francis	Horace	1752	1799
The reform'd coquet	Davys, Mary,	Erasmus	1752	1469
The stage-coach	Smythies	Matthew Prior	1753	1664
The castle of otranto. a gothic story	Walpole, Horace	Horace	1791	1799
Farmer of New-Jersey	Davis, John	Thomson.	1800	1694
The quakers	Lester, Elizabeth B	Voltaire	1817	1694
The quakers	Lester, Elizabeth B	Voltaire	1818	1694
Young Scarron	Mozeen, Thomas,	Anonymous	1752	1270
Memoirs of Lydia Tongue-pad	null	Addison	1760	1672
The secret history of the prince of the Nazarenes	null	John Amos Comenius	1719	1592
The prude	Young lady	Lansdown	1724	1667
Matrimony	Shebbeare, John	Ovid	1766	1601
The auction	null	Nicholas Rowe	1760	1674
The adventures of a black coat	null	Horace	1760	1799
The Adventures of Sylvia Hughes	null	George Lillo.	1761	1693
Travels through France and Italy	Smollett, Tobias George	Quintus Ennius	1766	0239
The wanderer	null	Anon.	1766	1888
The history of Emily Montague. In four	Brooke, Frances	Horace	1769	1799
The discovery	Woodfin	Matthew Prior	1764	1664
A series of genuine letters between Henry	Griffith, Richard	Virgil	1767	1448
The History of Major Bromley and Miss Cliffen	null	William Shakespeare	1767	1564
The lovers	Treyssac de Vergy, Pierre Henri	Alexander Pope	1769	1688
The correspondence of Theodosius and Constantia	Langhorne, John	Guillaume Amfrye de Chaulieu	1765	1639
The faithful fugitives	null	Steele.	1766	1672
Maria	Kimber, Edward	Joseph Addison	1765	1672
Two novels. In letters	Griffith, Richard	Pliny	1769	1869
Remarks on the character and manners of the	null	Augustin	1769	1791
Gerania	Barnes, Joshua	Virgil	1675	1448
A second tale of a tub	Burnet, Thomas	Rabelais, François	1715	1494
A tale of a tub	Swift, Jonathan	Lucret.	1760	1721
The celebrated Mrs	Pilkington, Laetitia	Jonathan Swift	1764	1667
The pilgrim's progress from this world to	Bunyan, John	Hosea	1760	1855
The unnatural mother	null	George Granville, Baron Lansdowne	1734	1667
The savages of Europe. From the French	Lesuire, Robert Martin	Ovid	1764	1601
The lover's week	M. H	John Dryden	1718	1631
The surprize, or, constancy rewarded	Haywood, Eliza Fowler	John Dryden	1724	1631
The history of the adventures of Arthur O	Potter, John	Virgil.	1769	1448
The histories of some of the penitents in	null	William Shakespeare	1760	1564
The peregrinations of Jeremiah Grant, Esq	null	Tacitus	1763	1769
The mistakes of the heart	Treyssac de Vergy, Pierre Henri	Matthew Prior	1769	1664
The reverie	Johnstone, Charles	Milton	1763	1608
Daphnis	Gessner, Salomon	Horace	1768	1799
The reverie	Johnstone, Charles	John Milton	1763	1608
The life and character of Jane Shore	null	Juvenal	1714	1388
Court tales	null	Lee, Nathaniel	1717	1653
The secret history of Arlus and Odolphus	null	Ovid	1710	1601
The whole comical works of Monsr. Scarron	Scarron	Martial	1703	1430
The letters that passed between Theodosius	Langhorne, John	Joseph Addison	1763	1672
The pilgrim's progress from this world to	Bunyan, John	Hosea	1761	1855
Letters from the living to the living	null	Juvenal	1703	1388
Eugenius	Graves, Richard	Virgil	1786	1448
The novelist's magazine	Smollett, Tobias George	Horace	1780	1799
The adventures of a hackney coach	null	William Shakespeare	1781	1564
The adventures of a hackney coach	null	William Shakespeare	1781	1564
The man of the world	Mackenzie, Henry	Anonymous.	1783	1270
The History of Eliza Warwick. In two	null	William Shakespeare	1778	1564
Novelettes moral and sentimental partly original	Potter, T.	William Shakespeare	1785	1564
Secret histories, novels, and poems	Haywood, Eliza Fowler	Edmund Waller	1725	1606
Love and Madness	Croft, Herbert	John Dryden	1786	1631
Memoirs of the life of Count de Grammont	Hamilton, Anthony	Charles de Saint-Evremond	1714	1614
The entertaining novels of Mrs. Jane Barker	Barker, Jane	Horace	1719	1799
The happy-unfortunate	Boyd, Elizabeth	Joseph Addison	1732	1672
The vicar of Wakefield	Goldsmith, Oliver	Robert Burton	1786	1577
The novelist's magazine	Langhorne, John	Virgil	1780	1448
The novelist's magazine	Voltaire	Virgil	1780	1448
The novelist's magazine	Fielding, Henry	Horace	1780	1799
Pictures of the heart	Murdoch, John	Nicholas Rowe	1783	1674
The life of Aristides, the Athenian	Delany, Patrick	Plut.	1714	1877
Zeluco	Moore, John	Juvenal	1789	1388
The errors of innocence, in five	Lee, Harriet	William Shakespeare	1786	1564
Tales of the castle	Genlis, SteÃÅphanie FeÃÅliciteÃÅ	John Hoole	1785	1727
Juvenile indiscretions	Bennett	Alexander Pope	1786	1688
The son of Ethelwolf	Fuller, Anne	Seneca	1789	1863
The son of Ethelwolf	Fuller, Anne	Seneca	1789	1863
Oswald castle	A Lady	William Shakespeare	1789	1564
The solicitudes of absence. A genuine tale	Renwick, William	Horace	1788	1799
The pioneers	Cooper, James Fenimore	James Kirke Paulding	1823	1778
The pioneers	Cooper, James Fenimore	Paulding, James Kirke	1823	1778
The history of John Juniper, Esq	Johnstone, Charles	Juvenal	1781	1388
The works of Henry Fielding, esq	Fielding, Henry	Horace	1784	1799
The errors of innocence, in two	Lee, Harriet	Shakespeare, William	1786	1564
Precaution	Cooper, James Fenimore	Edward Young	1820	1683
Love and madness. A story too true	Croft, Herbert	William Shakespeare	1780	1564
The wilderness	M\'Henry, James	Thomas Campbell	1823	1777
The castles of Athlin and Dunbayne	Radcliffe, Ann Ward	James Cawthorn	1789	1719
History of Constantius and Pulchera	null	Lee	1821	1879
The rebels	Child, Lydia Maria Francis	William Cullen Bryant	1825	1794
The spy	Cooper, James Fenimore	Sir Walter Scott	1822	1771
The pilot	Cooper, James Fenimore	George Alexander Stevens	1823	1710
Hobomok, a tale of early times	Child, Lydia Maria Francis	William Cullen Bryant	1824	1794
Yorktown	Cushing, E. L	Lord Byron	1826	1783
Francis Berrian	Flint, Timothy	Francisco de Quevedo Villegas	1826	1580
The buccaneers	Judah, Samuel B. H	William Shakespeare	1827	1564
Logan, a family history. In two	Neal, John	William Shakespeare	1822	1564
Hope Leslie	Sedgwick, Catharine Maria	Eliza Lee Follen	1827	1787
