id	idAuthor	target	idDate	targetDate
The wars of the gulls	Jacob Bigelow	Samuel Butler	1812	5000
Letters on several occasions	William Freeman	Cicero	1757	-43
The travels of Zoroaster	null	Horace	1753	-8
Court intrigues	null	Alexander Pope	1759	1744
The Card	John Kidgell	Juvenal	1755	0130
The Card	John Kidgell	Juvenal	1755	0130
A narrative of the life of Mrs	Charlotte Charke	John Gay	1755	1732
A narrative of the life of Mrs	Charlotte Charke	E. Cook	1755	5000
Chiron	Charles Caraccioli	Jane Bartlett	1758	5000
The empire of the Nairs	James Lawrence	Virgil	1813	-19
A few days in Athens	Frances, Wright	R. Spottiswoode	1822	5000
Adsonville	null	J.C. Johnson	1824	5000
An antidote to the miseries of human life	Harriet Corp	J. Swords	1808	5000
The adventures of Capt. Greenland	William Goodall	R. (Robert), Baldwin	1752	5000
The adventures of Ferdinand Count Fathom	Tobias Smollet	Henry H. Bonnell	1753	5000
The history of Fanny Seymour	null	Sarah Cotter	1753	5000
Glenarvon. In three	Caroline, Lamb	Voltaire	1816	1778
The life and history of a pilgrim	George Wollaston	Virgil	1753	-19
The life and history of a pilgrim	George Wollaston	Virgil	1753	-19
The history of Jack Connor	William, Chaigneau	Mary Hubert	1752	5000
Third edition. Life high & low	Author of The Greeks	Alexander Pope	1819	1744
New tales	Amelia Opie	A. Taylor	1818	5000
A few days in Athens	Frances, Wright	R. Spottiswoode	1822	5000
Adsonville	null	J.C. Johnson	1824	5000
An antidote to the miseries of human life	Harriet Corp	J. Swords	1808	5000
The adventures of Capt. Greenland	William Goodall	R. (Robert), Baldwin	1752	5000
The adventures of Ferdinand Count Fathom	Tobias Smollet	Henry H. Bonnell	1753	5000
The history of Fanny Seymour	null	Sarah Cotter	1753	5000
Glenarvon. In three	Caroline, Lamb	Voltaire	1816	1778
The life and history of a pilgrim	George Wollaston	Virgil	1753	-19
The life and history of a pilgrim	George Wollaston	Virgil	1753	-19
The history of Jack Connor	William, Chaigneau	Mary Hubert	1752	5000
Third edition. Life high & low	Author of The Greeks	Alexander Pope	1819	1744
New tales	Amelia Opie	A. Taylor	1818	5000
The history of Pompey the Little	Francis Coventry	Horace	1752	-8
The reform'd coquet	Mary, Davys	Erasmus	1752	1536
The stage-coach	Smythies	Matthew Prior	1753	1721
The castle of otranto. a gothic story	Horace Walpole	Mary Coke	1791	5000
Farmer of New-Jersey	John Davis	Samuel, Loudon	1800	5000
The quakers	Elizabeth B Lester	T. C. Hansard	1817	5000
The quakers	Elizabeth B Lester	A. Paul	1818	1660
Young Scarron	Thomas, Mozeen	Anonymous	1752	5000
Young Scarron	John Murdoch	Michel de Montaigne	1783	1592
Pictures of the heart	John Murdoch	Nicholas Rowe	1783	1718
The history of the renown'd Don Quixote de	Miguel de Cervantes Saavedra	Richard Jones Esq.	1700	5000
Heloise	George Monck Berkeley	C. Elliot	1788	5000
The life of Aristides, the Athenian	Patrick Delany	Daniel Tompson	1714	5000
The new sylph, or	null	Antoine Leonard Thomas	1788	1785
Wieland	Charles Brockden Brown	Charles Brockden Brown	1798	5000
The buccaneers	Samuel B. H Judah	Edmund Munroe	1827	5000
Abstract. A character from life. In two	null	William Lane	1797	1778
Abstract. A character from life. In two	Eliza Fowler Haywood	Sam. Chapman	1724	5000
Trials of the human heart	Rowson	Arthur Young	1795	5000
Harrison's edition	George Lyttelton Lyttelton	James Harrison	1785	5000
A narrative of the extraordinary adventures	Donald Campbell	Edward Young	1799	1765
Louisa	Elizabeth Helme	Lady Rawlinson	1787	5000
A new voyage to the Island of Fools	Noble Venetian	Ovid	1713	18
Eleanora	null	Petrarch	1785	7
The savages of Europe. From the French	Robert Martin Lesuire	Ovid	1764	18
The Algerine captive	Royall Tyler	William Shakespeare	1797	1616
Mentoria	Rowson	Epigraph likely written by the author	1794	5000
Memoirs of the year two thousand five hundred	Louis-Sebastien Mercier	Leibniz	1795	1716
Zeluco	John Moore	Thomas Cadell	1789	5000
Zeluco	John Moore	Thomas Cadell	1789	5000
Argus	Charles Mathews	Pietro Metastasio	1789	1782
The castle of Otranto, a gothic story	Horace Walpole	Horace Walpole	1786	5000
Humanity in Algiers	American	John Milton	1801	1674
The errors of innocence, in five	Harriet Lee	William Shakespeare	1786	1616
Miscellaneous works, prose and poetical	John Blair Linn	Horace	1795	-8
Modern chivalry	H. H Brackenridge	Juvnal	1792	0130
The inheritance	Susan Ferrier	Jean de La Bruyre	1824	1696
Tales of wonder	M. G Lewis	Thomas Middleton	1801	1627
Tales of terror	null	William Drummond	1801	1649
Cottage on the cliff, a sea side story	Catherine G Ward	Robert Cooper	1823	5000
The Knight of St. John, a romance	Anna Maria Porter	Jean-Charles-Leonard Simonde de Sismondi	1817	5000
The asylum	Daniel Jackson	I. Mitchell	1811	5000
Maid Marian	Thomas Love Peacock	Samuel Gosnell	1822	5000
Discipline	Mary Brunton	Brown	1814	5000
Continental adventures	Charlotte A Eaton	J Grindrod	1826	5000
The fast of St. Magdalen, a romance	Anna Maria Porter	Dante Alighieri	1818	1321
The misfortunes of Elphin	Thomas Love Peacock	C. Adlard	1829	5000
The fortunes of Nigel, a romance	Walter Scott	William Gifford	1822	5000
Romantic tales	M. G Lewis	Walter Scott	1808	5000
A Sicilian romance	Ann Ward Radcliffe	Mary Ann Watts Hughes	1790	5000
Self-control	Mary Brunton	Robert Jamieson	1811	5000
Brambleton Hall	null	Horace	1818	-8
Trials	Mary Ann Kelty	Baylis	1824	5000
The Albigenses, a romance	Charles Robert Maturin	Richard Bentley	1824	1742
Fatal revenge	Charles Robert Maturin	Lucian	1807	5000
Nightmare Abbey	Thomas Love Peacock	Ben Jonson	1818	1637
The recluse of Norway	Anna Maria Porter	Eliza Giffard	1814	5000
The village of Mariendorpt. A tale	Anna Maria Porter	Eliza Giffard	1821	5000
The Hungarian Brothers	Anna Maria Porter	Edward Young	1807	1765
The lake of Killarney	Anna Maria Porter	John Milton	1804	1674
Honor O'Hara	Anna Maria Porter	Thomas Erskine	1826	5000
The children of the abbey	Regina Maria Roche	LEpine	1807	5000
Contrast. In three	Regina Maria Roche	William Wordsworth	1828	5000
The marchioness!!! Or	Ross	John Gay	1813	1732
The Munster cottage boy. A tale. In four	Regina Maria Roche	W. Price	1820	5000
The republican's mistress	Charlotte Smith	Publilius Syrus	1821	0040
The banished man	Charlotte Smith	Pietro Metastasio	1794	1782
Headlong Hall	Thomas Love Peacock	Jun.	1816	5000
The life of Pill Garlick	Edmond Temple	J.-B. P. de Moliere	1813	1673
The vagabond	George Walker	Johanne	1800	5000
Trecothick Bower	Regina Maria Roche	George Palmer	1816	5000
Caroline Lismore	Alicia Catherine Mant	Eliza Giffard	1815	5000
Osmond, a tale	Mary Ann Kelty	George Crabbe	1822	2
Ringstead abbey	J. A Sargant	William Shakespeare	1830	1616
Truckleborough Hall	William Pitt Scargill	Baylis	1827	5000
The vallies	Basil Tempest	Green	1827	5000
Don Sebastian	Anna Maria Porter	William Shakespeare	1809	1616
Lady Jane's pocket	Author of Silvanella	Miller	1815	5000
Love and satire	null	Jean-Jacques Rousseau	1805	1778
The balance of comfort	Ross	John Darling	1817	5000
The wild Irish boy	Charles Robert Maturin	Edmund Spenser	1824	1599
Marriage	Susan Ferrier	Clarke	1818	5000
The advantages of education	Jane West	A. K. Newman	1803	5000
The forest girl	Catherine G Ward	Mary Gidley	1826	5000
The fortunes of Nigel	Walter Scott	W. Galignani	1822	5000
Destination	Clara Reeve	John Milton	1799	1674
Tales of wonder	M. G Lewis	Thomas Middleton	1801	1627
The fortunes of Nigel	Walter Scott	James Ballantyne	1822	5000
Agnes	null	Collins	1822	5000
The power of sympathy	William Hill Brown	William Hill Brown	1789	5000
Octavia	Anna Maria Porter	Robert Dodsley	1798	1764
The natural daughter	Mary Robinson	William Shakespeare	1799	1616
Thornton abbey	John Satchel	W. Gordon	1806	5000
Traits of nature	Sarah Harriet Burney	Mr. Page	1813	5000
The woman of genius. In three	null	Miss Susana Coke	1821	5000
The village of Mariendorpt. A tale	Anna Maria Porter	A. Miller	1821	5000
Characters at Brighton	Anne Trelawney	George	1808	5000
The daughter of St. Omar	Catherine G Ward	John Home	1810	9
Adelaide de Grammont	null	Battista Guarini	1804	1612
The express	Maintenon	Horace	1819	-8
The fisher's daughter	Catherine G Ward	Walter Scott	1824	5000
The fortunes of Nigel	Walter Scott	David Francis	1822	5000
The old manor house	Charlotte Smith	Jean-Jacques Rousseau	1793	1778
Siberian anecdotes	null	Matthew Prior	1783	1721
Blue-stocking hall	Chetwode	William Shakespeare	1827	1616
The vicar of Lansdowne	Regina Maria Roche	Mark Akenside	1802	1770
Nocturnal visit. A tale. In four	Regina Maria Roche	William Shakespeare	1800	1616
Hannah Hewit	Charles Dibdin	William Shakespeare	1792	1616
Traits of nature	Sarah Harriet Burney	Dean	1812	5000
Lawrie Todd	John Galt	C. OBrien	1830	5000
The monk	M. G Lewis	Horace	1796	-8
Rothelan	John Galt	Boyd	1824	5000
