id	idAuthor	target	idDate	targetDate
The whole comical works of Mon. Scarron	Scarron	Martial	1712	0104
Memoirs of the life of Count de Grammont	Anthony Hamilton	William, Lewis	1714	5000
Memoirs of the life of Count de Grammont	Anthony Hamilton	Antoine Hamilton	1714	5000
The entertaining novels of Mrs. Jane Barker	Jane Barker	Horace	1719	-8
The life and character of Jane Shore	null	Anne Dodd	1714	5000
The mercenary lover	Eliza Fowler Haywood	N. Dobb	1726	5000
Gerania	Joshua Barnes	Virgil	1675	-19
Rosanne	Laetitia Matilda Hawkins	Cowper	1814	1800
Royal adventures	Roger Boyle Orrery	D. of Buckingham Sheffiled	1750	5000
The modern Griselda. A tale	Maria Edgeworth	Pope	1810	5000
The modern Griselda. A tale	Maria Edgeworth	Pope	1810	5000
The knight of St. John, a romance	Anna Maria Porter	Sismondi	1817	5000
The knight of St. John, a romance	Anna Maria Porter	Careys Dante.	1817	5000
The itinerant	S. W Ryley	Shakespeare.	1817	1616
Coelebs in search of a wife	Hannah More	Milton	1813	1674
Memoirs of the love and state-intrigues of	null	---------	1743	5000
Leonora	null	Anon.	1745	5000
The silph's resentment	null	Otway	1742	1685
Secret histories, novels, and poems	Eliza Fowler Haywood	R. Ware	1746	5000
The history of Tom Jones, a foundling	Henry Fielding	George Lyttelton Baron Lyttelton	1749	5000
Dalinda	null	Cowley	1749	1667
The adventures of Ferdinand Count Fathom	Tobias George Smollett	Juvenalis	1817	5000
The Brownie of Bodsbeck	James Hogg	Shakespeare	1818	1616
Self-control	Mary Brunton	Cowper	1811	1800
The alderman and the peer	Medora Gordon Byron	Alexander Pope	1810	1744
The Englishman in Paris	null	Boileau	1819	1711
Discipline	Mary Brunton	Joanna Baillie	1814	5000
Alicia de Lacy	West	Gray	1814	5000
Elfrida, heiress of Belgrove	Emma Parker	Alexander Pope	1811	1744
The refusal	West	C. Stower	1810	5000
The lake of Killarney	Anna Maria Porter	John Milton	1810	1674
Anne of Brittanny	null	James Thomson	1810	1748
Bath and London	null	Havard	1811	5000
Frankenstein	Mary Wollstonecraft Shelley	John Milton	1818	1674
The Works of Henry Fielding, Esq	Henry Fielding	Juvenal	1813	0130
The Scottish chiefs, a romance. In five	Jane Porter	Ossian.	1811	1796
Christmas tales	null	Sam Slick of Slickville	1811	5000
Tales of my landlord	Walter Scott	Miguel de Cervantes	1816	1616
The adultress	null	W. Glendinning	1810	5000
Rob Roy	Walter Scott	Don Sebastian	1818	5000
Rob Roy	Walter Scott	Don Sebastian	1818	5000
Traits of nature	Sarah Harriet Burney	Martinus Scriblerus	1812	1744
Traits of nature	Regina Maria Roche	Collins	1815	5000
Traits of nature	Charlotte Campbell Bury	Stphanie Flicit, comtesse de Genlis	1812	12
Six Weeks at Long's	Eaton Stannard Barrett	Virgil	1817	-19
Things	Frances Jacson	Milton	1812	1674
The bachelor and the married man	Ross	Harris	1817	5000
Varieties in woman	Jacob Bigelow	Robert Burton Burton	1819	5000
The adventures of Roderick Random. In two	Tobias George Smollett	Horace	1748	-8
Memoirs of an unfortunate young nobleman	James Annesley	J. Freeman	1743	5000
The old English Baron. A gothic story	Clara Reeve	Horace	1810	-8
The British novelists	Francis Coventry	J. Booker	1810	5000
The British novelists	Inchbald	J. Booker	1810	5000
The British novelists	Ann Ward Radcliffe	Shakespeare	1810	1616
A year and a day	Frances Brooke	Tibullus	1818	5000
The cottagers of Glenburnie	Elizabeth Hamilton	Thomas Gray	1812	1771
Lionel	null	Coleridge	1818	5000
The Balance of Comfort	Ross	Pope	1817	5000
The adventures of Roderick Random	Tobias George Smollett	Horace	1748	-8
The true anti-Pamela	null	Otway	1742	1685
An antidote to the miseries of human life	Harriet Corp	Thomson	1814	1778
Clan-Albin	C. I Johnstone	Thomson	1815	1778
The fast of St. Magdalen, A Romance	Anna Maria Porter	Dante Alighieri	1819	1321<br>
Forman. A Tale. In Three	Abel Moysey	Shakespeare	1819	1616
The castles of Athlin and Dunbayne	Ann Ward Radcliffe	Cawt.	1811	5000
Human nature	Cordelia Cordova	Stphanie Flicit, comtesse de Genlis	1816	12
Cava of Toledo	Augusta Amelia Stuart	Thomas Gray	1812	1771
Memoirs of an unfortunate young nobleman	null	William, Shakespeare	1743	1616
O'Donnel. A National Tale	Morgan	Shakespeare	1814	1616
Adelaide. A new and original novel	Botsford	Jane W. Grier	1816	5000
Keep cool	John Finch	Richard Savage	1812	5000
The Thatcher's Wife	Legh Richmond	John Fawcett	1819	5000
Sancho	J. W Cunningham	Horace	1817	-8
Sentimental anecdotes	Isabelle de Montolieu	Alexander Pope	1812	1744
Melincourt	Thomas Love Peacock	Jean-Jacques Rousseau	1817	1778
The memoirs of the Baron du Tan	Gomez	Pope	1744	5000
True stories, from ancient history	Maria Elizabeth Budden	Dionysius of Heraclea	1819	5000
Dinarbas	Ellis Cornelia Knight	Horace	1813	-8
