id	title	author	date	epigraph_author	d	4	5
340854	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	"Scott, Helenus"	1782	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
340854	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	"Scott, Helenus"	1782	"['Lucretius Carus, Titus']"		['Author (epigraph)']	['Authorized']
340856	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	"Scott, Helenus"	1782	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
340856	The adventures of a rupee. Wherein are interspersed various anecdotes Asiatic and European.	"Scott, Helenus"	1782	"['Lucretius Carus, Titus']"		['Author (epigraph)']	['Authorized']
340910	"The adventures of an East-India rupee. Wherein are interspersed, various anecdotes Asiatic, and European."	"Scott, Helenus"	1783	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
340911	"The adventures of a cork-screw; in which, under the pleasing method of a romance, the vices, follies and manner of the present age are exhibited and satirically delineated. Interspersed with striking anecdotes, characters and actions of persons in real-life; all drawn to promote virtue, expose vice, and laugh folly out of countenance."		1775	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341318	The adventures of Roderick Random. In two volumes. Vol. I. The eighth edition.	"Smollett, Tobias George"	1770	['Horace']		['Author (epigraph)']	['Authorized']
341334	"The American wanderer, through various parts of Europe, in a series of letters to a lady, (interspersed with a variety of interesting anecdotes) by a Virginian."		1783	['Virgil']		['Author (epigraph)']	['Authorized']
341334	"The American wanderer, through various parts of Europe, in a series of letters to a lady, (interspersed with a variety of interesting anecdotes) by a Virginian."		1783	"['Dryden, John']"	['1631-1700']	['Author (epigraph)']	['Authorized']
341342	"The history of the adventures of Arthur O'Bradley, &c. A novel. By John Potter. The second edition. Vol. I."	"Potter, John"	1771	['Virgil']		['Author (epigraph)']	['Authorized']
341345	Blandford races: a novel. In two volumes. Vol. I.		1782	"['Addison, Joseph']"	['1672-1719']	['Author (epigraph)']	['Authorized']
341351	Charles and Charlotte. In two volumes. Vol. I.	Pratt	1777	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341364	"Chrysal: or, the adventures of a guinea. Wherein are exhibited views of several striking scenes: with curious and interesting anecdotes of the most noted persons in every rank of life, whose hands it passed through, in America, England, Holland, Germany and Portugal. By an adept. Vol. I."	"Johnstone, Charles"	1775	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
341367	"Colonel Ormsby; or the genuine history of an Irish nobleman, in the French service. Vol. I."		1781	"['Watts, Isaac']"	['1674-1748']	['Author (epigraph)']	['Authorized']
341368	"Columella; or, the distressed anchoret. A colloquial tale. By the editor of the Spiritual Quixote. Vol. I."	"Graves, Richard"	1779	['Pliny the Editor']		['Author (epigraph)']	['Authorized']
341368	"Columella; or, the distressed anchoret. A colloquial tale. By the editor of the Spiritual Quixote. Vol. I."	"Graves, Richard"	1779	['Horace']		['Author (epigraph)']	['Authorized']
341378	"Correspondents, an original novel; in a series of letters. A new edition."		1776	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
341379	The Count de Rethel: an historical novel. Taken from the French. Dedicated (by permission) to the Lady Viscountess Hereford. In three volumes. Vol. I.		1779	['Voltaire']	['1694-1778']	['Author (epigraph)']	['Authorized']
341380	"The curate of Coventry: a tale. By John Potter, author of The history and adventures of Arthur O'Bradley. [Epigraph] In two volumes. Vol. I."	"Potter, John"	1771	"['Lucretius Carus, Titus']"		['Author (epigraph)']	['Authorized']
341380	"The curate of Coventry: a tale. By John Potter, author of The history and adventures of Arthur O'Bradley. [Epigraph] In two volumes. Vol. I."	"Potter, John"	1771	['Virgil']		['Author (epigraph)']	['Authorized']
341381	"The genuine diestresses of Damon and Celia. In a series of letters between the late General Craufurd, Sir John Hussey Delaval, Bart. Sir Francis Blake Delaval, K. B. and two unfortunate lovers. By William Renwick. Vol. I."	"Renwick, William"	1771	['Ovid']		['Author (epigraph)']	['Authorized']
341386	"Dangerous connections: or, letters collected in a society, and published for the instruction of other societies. By M. C**** de L***. Vol. I."	"Laclos, Choderlos de"	1784	"['Rousseau, Jean-Jacques']"	['1712-1778']	['Author (epigraph)']	['Authorized']
341388	The delicate distress: a novel. In letters. In two volumes. By Frances. Vol. I.	Griffith	1775	['Mrs. Woolbrook']		['Author (epigraph)']	['Unauthorized']
341392	"Les delices du sentiment; or the passionate lovers: in a series of letters which have recently passed between two celebrated characters, well known in polite life for their virtues, talents, and accomplishments. With a translation from the originals. Written in cypher. Several of those letters are entrusted to the publisher, for the satisfaction of those readers who doubt their authenticity."		1781	['Fenouillot de Falbaire M (Charles-Georges)']	['1727-1800 or 1801']	['Author (epigraph)']	['Authorized']
341410	Maria; or the generous rustic.	"Berkeley, George Monck"	1784	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341411	"Emma Corbett; or, the miseries of civil war. Founded on some recent circumstances which happened in America. By the author of Liberal Opinions, Pupil of Pleasure, Shenstone Green, &c. Vol. I. Second edition."	Pratt	1780	"['Smollett, T. (Tobias)']"	['1721-1771']	['Author (epigraph)']	['Authorized']
341421	Fashionable follies: a novel. Containing the history of a Parisian family. In two volumes. Vol. I.	"Vaughan, Thomas"	1782	['Homer']		['Author (epigraph)']	['Authorized']
341421	Fashionable follies: a novel. Containing the history of a Parisian family. In two volumes. Vol. I.	"Vaughan, Thomas"	1782	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341427	"A father's instructions; consisting of moral tales, fables, and reflections; designed to promote the love of virtue, a taste for knowledge, and an early acquaintance with the works of nature. By Thomas Percival, M.D. F.R.S. and S.A. Member of the medical societies of London and Edinburgh; and of the Royal Society of Physicians at Paris. The fourth edition, revised and enlarged."	"Percival, Thomas"	1779	['Cicero']		['Author (epigraph)']	['Authorized']
341429	"A father's instructions to his children consisting of tales, fables, and reflections; designed to promote the love of virtue, a taste for knowledge, and an early acquaintance with the works of nature."	"Percival, Thomas"	1776	"['Cicero, Marcus Tullius']"		['Author (epigraph)']	['Authorized']
341433	Female friendship: or the innocent sufferer. A moral novel. Volume the first.		1770	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
